node_id,sent_at_time,packet_type,forwarded
16,1555036218.1870866,control,False
16,1555036218.2320058,control,False
16,1555036221.032165,control,False
8,1555036217.9399328,control,False
8,1555036217.9429145,control,False
8,1555036217.96036,control,False
8,1555036217.9610188,control,False
8,1555036218.1597798,control,False
8,1555036218.1607544,control,False
8,1555036218.188187,control,False
8,1555036218.1922808,control,False
8,1555036218.1936955,control,False
8,1555036218.3218749,control,False
8,1555036218.3236277,control,False
8,1555036237.9604173,control,False
8,1555036237.9641876,control,False
8,1555036237.9644127,control,False
8,1555036237.9646947,control,False
8,1555036257.983732,control,False
8,1555036257.985432,control,False
7,1555036217.95898,control,False
7,1555036217.9624484,control,False
7,1555036217.9632783,control,False
7,1555036218.161323,control,False
7,1555036218.1628652,control,False
7,1555036218.1884012,control,False
7,1555036218.1907837,control,False
7,1555036218.1923296,control,False
7,1555036218.320283,control,False
7,1555036237.9784694,control,False
7,1555036242.9838161,control,False
7,1555036242.9840937,control,False
7,1555036242.984333,control,False
10,1555036217.9934144,control,False
10,1555036218.1593637,control,False
10,1555036218.1640997,control,False
10,1555036218.1649053,control,False
10,1555036218.1911967,control,False
10,1555036218.1929886,control,False
10,1555036218.1947172,control,False
10,1555036218.32285,control,False
10,1555036218.3234346,control,False
10,1555036238.0147395,control,False
10,1555036243.0184271,control,False
10,1555036243.018655,control,False
10,1555036243.0188673,control,False
10,1555036258.0351424,control,False
10,1555036258.0364063,control,False
18,1555036218.0481923,control,False
18,1555036218.171637,control,False
18,1555036221.0324469,control,False
18,1555036223.7398143,control,False
18,1555036237.9879165,control,False
18,1555036238.068175,control,False
18,1555036243.0693622,control,False
18,1555036243.0695975,control,False
26,1555036218.1022158,control,False
26,1555036219.897131,control,False
26,1555036220.09083,control,False
26,1555036220.2870963,control,False
26,1555036220.3337657,control,False
26,1555036238.1227717,control,False
26,1555036238.1264598,control,False
26,1555036238.1266937,control,False
26,1555036238.1269367,control,False
35,1555036218.127844,control,False
35,1555036220.329312,control,False
35,1555036220.3674033,control,False
35,1555036220.368386,control,False
35,1555036220.3869793,control,False
35,1555036238.148666,control,False
35,1555036238.1521313,control,False
11,1555036218.1923103,control,False
11,1555036218.9941986,control,False
11,1555036220.2454057,control,False
11,1555036238.0697827,control,False
11,1555036238.2035568,control,False
11,1555036238.2118948,control,False
2,1555036218.252011,control,False
2,1555036218.2555172,control,False
2,1555036218.319947,control,False
2,1555036218.3236063,control,False
2,1555036238.272987,control,False
2,1555036258.2959077,control,False
12,1555036218.4393954,control,False
12,1555036220.2460368,control,False
12,1555036237.9887033,control,False
12,1555036238.0701365,control,False
12,1555036238.158553,control,False
12,1555036238.460252,control,False
12,1555036238.4632897,control,False
13,1555036218.516121,control,False
13,1555036218.994109,control,False
13,1555036238.0702627,control,False
13,1555036238.071157,control,False
13,1555036238.1585226,control,False
13,1555036238.520969,control,False
13,1555036238.5396805,control,False
13,1555036238.539912,control,False
20,1555036218.9926553,control,False
20,1555036220.357233,control,False
20,1555036220.584249,control,False
20,1555036221.0322402,control,False
20,1555036223.6797225,control,False
20,1555036238.1922047,control,False
20,1555036238.9967709,control,False
20,1555036239.01557,control,False
20,1555036239.0158417,control,False
20,1555036239.0161269,control,False
20,1555036240.3593178,control,True
20,1555036240.3595345,control,True
20,1555036240.3597438,control,True
28,1555036220.3458993,control,False
28,1555036237.9754186,control,False
28,1555036239.9171698,control,False
28,1555036240.340709,control,False
28,1555036240.3547542,control,False
28,1555036240.366361,control,False
28,1555036240.3700457,control,False
28,1555036240.3703175,control,False
28,1555036240.3705342,control,False
56,1555036220.4004848,control,False
56,1555036240.4070535,control,False
42,1555036220.4116998,control,False
42,1555036220.703927,control,False
42,1555036240.4321651,control,False
42,1555036240.435296,control,False
43,1555036221.3419018,control,False
43,1555036241.3623939,control,False
40,1555036220.0896857,control,False
40,1555036220.3293848,control,False
40,1555036220.3571484,control,False
40,1555036220.4017353,control,False
40,1555036240.110092,control,False
40,1555036245.1109388,control,False
40,1555036245.111171,control,False
25,1555036221.031084,control,False
25,1555036238.149943,control,False
25,1555036240.30781,control,False
25,1555036240.3547761,control,False
25,1555036240.6049476,control,False
25,1555036241.0524688,control,False
25,1555036246.057224,control,False
25,1555036246.0575154,control,False
25,1555036246.0577247,control,False
25,1555036261.0729864,control,False
25,1555036261.0739205,control,False
6,1555036217.8774498,control,False
6,1555036217.9411361,control,False
6,1555036217.9441113,control,False
6,1555036217.9593732,control,False
6,1555036217.9613533,control,False
6,1555036218.158202,control,False
6,1555036218.16079,control,False
6,1555036218.1895058,control,False
6,1555036218.1904912,control,False
6,1555036218.191283,control,False
6,1555036218.2520926,control,False
6,1555036218.3183362,control,False
6,1555036218.3217928,control,False
6,1555036237.893287,control,False
6,1555036237.9013908,control,False
6,1555036237.9015298,control,False
6,1555036237.901645,control,False
6,1555036257.914059,control,False
6,1555036257.9145725,control,False
38,1555036217.9533453,control,False
38,1555036220.3299394,control,False
38,1555036220.330859,control,False
38,1555036220.357166,control,False
38,1555036237.9742508,control,False
38,1555036237.9768262,control,False
38,1555036237.9771113,control,False
38,1555036240.3715296,control,True
38,1555036240.3717492,control,True
38,1555036257.996754,control,False
22,1555036217.9665685,control,False
22,1555036218.1297004,control,False
22,1555036218.1398091,control,False
22,1555036218.188499,control,False
22,1555036220.7030778,control,False
22,1555036237.9753885,control,False
22,1555036237.9870021,control,False
22,1555036237.990445,control,False
22,1555036237.9906678,control,False
22,1555036237.9908824,control,False
22,1555036238.2550545,control,True
22,1555036238.25526,control,True
22,1555036238.255468,control,True
22,1555036258.00875,control,False
22,1555036258.0095649,control,False
15,1555036218.0382478,control,False
15,1555036218.0492642,control,False
15,1555036218.9936712,control,False
15,1555036220.2451594,control,False
15,1555036220.3667583,control,False
15,1555036221.032189,control,False
15,1555036238.0587256,control,False
15,1555036238.0613682,control,False
15,1555036238.061686,control,False
15,1555036238.0619514,control,False
15,1555036258.0804904,control,False
17,1555036218.0481784,control,False
17,1555036218.1401067,control,False
17,1555036218.3191624,control,False
17,1555036223.6796768,control,False
17,1555036223.73957,control,False
17,1555036237.988623,control,False
17,1555036238.0685854,control,False
17,1555036238.0719054,control,False
17,1555036238.0722148,control,False
17,1555036238.072487,control,False
17,1555036258.090385,control,False
29,1555036218.101268,control,False
29,1555036220.0916183,control,False
29,1555036220.3199432,control,False
29,1555036220.7031016,control,False
29,1555036237.9754462,control,False
29,1555036238.1217248,control,False
29,1555036238.12517,control,False
29,1555036238.1254523,control,False
29,1555036258.143221,control,False
21,1555036218.1364925,control,False
21,1555036218.159088,control,False
21,1555036218.1716237,control,False
21,1555036238.1573455,control,False
21,1555036238.1595387,control,False
21,1555036258.17889,control,False
21,1555036258.1802683,control,False
33,1555036218.1386929,control,False
33,1555036220.3074243,control,False
33,1555036220.3123734,control,False
33,1555036220.367372,control,False
33,1555036220.3683798,control,False
33,1555036238.159144,control,False
33,1555036238.1622262,control,False
33,1555036238.1624453,control,False
33,1555036258.1806717,control,False
9,1555036218.1577148,control,False
9,1555036218.1612062,control,False
9,1555036218.1624682,control,False
9,1555036218.1879542,control,False
9,1555036218.189543,control,False
9,1555036218.1928937,control,False
9,1555036218.3198853,control,False
9,1555036218.3207214,control,False
9,1555036238.178247,control,False
9,1555036238.1814067,control,False
9,1555036238.1816785,control,False
9,1555036238.1818957,control,False
9,1555036258.2005558,control,False
9,1555036258.201543,control,False
14,1555036218.154883,control,False
14,1555036220.2453253,control,False
14,1555036220.3123562,control,False
14,1555036238.0700884,control,False
14,1555036238.158447,control,False
14,1555036238.1753101,control,False
14,1555036238.178564,control,False
14,1555036238.178794,control,False
14,1555036238.1790395,control,False
14,1555036258.1833534,control,False
23,1555036218.1701884,control,False
23,1555036220.2879384,control,False
23,1555036220.5842085,control,False
23,1555036220.7031958,control,False
23,1555036238.1607742,control,False
23,1555036238.1906297,control,False
23,1555036238.1943505,control,False
23,1555036238.1946397,control,False
23,1555036243.0709736,control,True
23,1555036243.0712113,control,True
23,1555036258.2121868,control,False
27,1555036218.2284453,control,False
27,1555036220.09159,control,False
27,1555036220.3199525,control,False
27,1555036237.9755569,control,False
27,1555036238.2367759,control,False
27,1555036238.2501512,control,False
27,1555036238.2504268,control,False
27,1555036258.2584503,control,False
4,1555036218.230353,control,False
4,1555036218.2337012,control,False
4,1555036218.2545502,control,False
4,1555036218.3193855,control,False
4,1555036218.3249924,control,False
4,1555036237.9887764,control,False
4,1555036238.1746364,control,False
4,1555036238.2507849,control,False
4,1555036238.2536829,control,False
4,1555036258.2723355,control,False
5,1555036218.3183653,control,False
5,1555036218.3226416,control,False
5,1555036218.323857,control,False
5,1555036238.3388295,control,False
5,1555036258.3481054,control,False
3,1555036218.1524234,control,False
3,1555036218.2316496,control,False
3,1555036218.2527993,control,False
3,1555036218.321404,control,False
3,1555036218.3222997,control,False
3,1555036237.990331,control,False
3,1555036238.1728525,control,False
3,1555036238.1769414,control,False
3,1555036258.1776,control,False
39,1555036219.8951225,control,False
39,1555036220.307533,control,False
39,1555036220.3295934,control,False
39,1555036220.401722,control,False
39,1555036239.915617,control,False
39,1555036239.9189644,control,False
39,1555036239.9191859,control,False
39,1555036240.3849866,control,True
39,1555036240.385191,control,True
39,1555036259.9371948,control,False
53,1555036220.3055792,control,False
53,1555036240.3260512,control,False
53,1555036260.3282547,control,False
9,1555036223.739608,control,False
19,1555036237.9887362,control,False
19,1555036238.1585398,control,False
19,1555036240.264558,control,False
19,1555036240.2690113,control,False
19,1555036240.269322,control,False
19,1555036240.2696002,control,False
19,1555036260.2865262,control,False
34,1555036220.2857788,control,False
34,1555036220.3071878,control,False
34,1555036220.3121958,control,False
34,1555036220.3871918,control,False
34,1555036240.3062606,control,False
34,1555036240.3099868,control,False
34,1555036240.3102207,control,False
34,1555036243.0725317,control,True
34,1555036243.0727367,control,True
34,1555036260.3279366,control,False
54,1555036220.3280168,control,False
54,1555036240.34849,control,False
54,1555036260.3504372,control,False
57,1555036220.3270993,control,False
57,1555036240.3475451,control,False
57,1555036260.3535724,control,False
31,1555036220.3338125,control,False
31,1555036220.3668776,control,False
31,1555036220.367664,control,False
31,1555036220.3867526,control,False
31,1555036238.9983313,control,False
31,1555036240.3542488,control,False
31,1555036240.3573253,control,False
31,1555036240.35755,control,False
31,1555036240.3577697,control,False
31,1555036260.375865,control,False
31,1555036260.3766704,control,False
55,1555036220.3559468,control,False
55,1555036240.3763683,control,False
55,1555036260.3973944,control,False
50,1555036220.3655484,control,False
50,1555036240.3859873,control,False
50,1555036260.406985,control,False
52,1555036220.3663213,control,False
52,1555036240.3871953,control,False
52,1555036260.409693,control,False
30,1555036220.3596282,control,False
30,1555036239.9173207,control,False
30,1555036240.111594,control,False
30,1555036240.3547633,control,False
30,1555036240.3782594,control,False
30,1555036240.3834774,control,False
30,1555036240.3837683,control,False
30,1555036260.3997674,control,False
30,1555036260.4005554,control,False
58,1555036220.3839676,control,False
58,1555036240.3909004,control,False
58,1555036260.4119434,control,False
59,1555036220.3018558,control,False
59,1555036240.320052,control,False
59,1555036260.3327668,control,False
47,1555036220.3829658,control,False
47,1555036240.3411555,control,False
47,1555036240.4034,control,False
47,1555036260.4246068,control,False
51,1555036220.385993,control,False
51,1555036240.34919,control,False
51,1555036240.4064136,control,False
51,1555036240.4101954,control,False
51,1555036260.417025,control,False
41,1555036220.3328097,control,False
41,1555036220.357277,control,False
41,1555036220.5844083,control,False
41,1555036240.353248,control,False
41,1555036240.3565574,control,False
41,1555036240.3568022,control,False
41,1555036240.3718226,control,True
41,1555036240.3720202,control,True
41,1555036240.385389,control,True
41,1555036240.3855884,control,True
41,1555036240.3864214,control,True
41,1555036240.3866265,control,True
41,1555036246.0589619,control,True
41,1555036246.059174,control,True
41,1555036260.3748558,control,False
46,1555036220.3594255,control,False
46,1555036240.3549724,control,False
46,1555036240.379887,control,False
46,1555036240.3837435,control,False
46,1555036260.4011757,control,False
44,1555036220.3835285,control,False
44,1555036240.403972,control,False
44,1555036260.4249668,control,False
48,1555036220.3187313,control,False
48,1555036240.3391993,control,False
48,1555036260.3516145,control,False
36,1555036220.583103,control,False
36,1555036221.0319812,control,False
36,1555036240.348351,control,False
36,1555036240.3771157,control,False
36,1555036240.3878238,control,False
36,1555036240.4077668,control,False
36,1555036240.603349,control,False
36,1555036240.6065965,control,False
36,1555036240.6067028,control,False
36,1555036240.6068168,control,False
36,1555036240.606964,control,False
36,1555036243.0723188,control,True
36,1555036243.072418,control,True
36,1555036243.0725255,control,True
36,1555036246.0585008,control,True
36,1555036246.0585978,control,True
36,1555036246.0586998,control,True
36,1555036260.6053054,control,False
36,1555036260.605707,control,False
49,1555036220.311105,control,False
49,1555036240.3315659,control,False
49,1555036260.3525126,control,False
45,1555036220.7401903,control,False
45,1555036240.7600102,control,False
45,1555036260.7672424,control,False
37,1555036220.7019937,control,False
37,1555036223.7403624,control,False
37,1555036240.3500226,control,False
37,1555036240.4091837,control,False
37,1555036240.722481,control,False
37,1555036240.7257226,control,False
37,1555036240.7259476,control,False
37,1555036240.7261767,control,False
37,1555036243.7045498,control,True
37,1555036243.7047524,control,True
37,1555036243.704948,control,True
37,1555036260.744235,control,False
37,1555036260.744997,control,False
60,1555036221.277391,control,False
60,1555036241.280643,control,False
60,1555036261.2920878,control,False
24,1555036223.6780334,control,False
24,1555036223.740341,control,False
24,1555036238.1498928,control,False
24,1555036238.1610754,control,False
24,1555036240.724172,control,False
24,1555036243.6814537,control,False
24,1555036243.7026145,control,False
24,1555036243.7028425,control,False
24,1555036263.703094,control,False
24,1555036263.7039046,control,False
32,1555036223.7385898,control,False
32,1555036238.158808,control,False
32,1555036240.327661,control,False
32,1555036240.333194,control,False
32,1555036240.3506815,control,False
32,1555036240.4079707,control,False
32,1555036243.753635,control,False
32,1555036243.7597144,control,False
32,1555036243.7599404,control,False
32,1555036243.7601738,control,False
32,1555036263.7593424,control,False
